"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13445802","JH245375","2024-04-30T21:30:00.000","012XX W SUNNYSIDE AVE","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","false","false","1913","019","46","3","15","1167199","1930017","2024","2024-05-08T15:41:27.000","41.963526318","-87.660649021","
,  
(41.963526318, -87.660649021)"
"13446006","JH245639","2024-04-30T21:30:00.000","006XX S FINANCIAL PL","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0123","001","34","32","14","1175093","1897421","2024","2024-05-08T15:41:27.000","41.873907817","-87.632604904","
,  
(41.873907817, -87.632604904)"
"13446624","JH246612","2024-04-30T21:29:00.000","012XX W SUNNYSIDE AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","false","1913","019","46","3","04A","1167297","1930019","2024","2024-05-08T15:41:27.000","41.963529694","-87.660288652","
,  
(41.963529694, -87.660288652)"
"13445982","JH245600","2024-04-30T21:27:00.000","082XX S MICHIGAN AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE","false","false","0631","006","6","44","26","1178582","1850494","2024","2024-05-08T15:41:27.000","41.745057176","-87.621222725","
,  
(41.745057176, -87.621222725)"
"13446755","JH245980","2024-04-30T21:25:00.000","062XX N LINCOLN AVE","0860","THEFT","RETAIL THEFT","APPLIANCE STORE","false","false","1711","017","50","13","06","1152477","1941288","2024","2024-05-08T15:41:27.000","41.994758989","-87.7144777","
,  
(41.994758989, -87.7144777)"
"13445777","JH245355","2024-04-30T21:25:00.000","007XX N GREEN ST","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","1214","012","27","24","03","1170584","1905457","2024","2024-05-08T15:41:27.000","41.89605896","-87.648924378","
,  
(41.89605896, -87.648924378)"
"13445723","JH245342","2024-04-30T21:11:00.000","002XX E HURON ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","OTHER (SPECIFY)","false","true","1834","018","2","8","26","1178046","1905133","2024","2024-05-08T15:41:27.000","41.895003278","-87.62152816","
,  
(41.895003278, -87.62152816)"
"13446469","JH245341","2024-04-30T21:10:00.000","064XX S JUSTINE ST","0420","BATTERY","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","APARTMENT","false","false","0725","007","16","67","04B","1167110","1862121","2024","2024-05-08T15:41:27.000","41.777216063","-87.662925863","
,  
(41.777216063, -87.662925863)"
"13446600","JH246311","2024-04-30T21:09:00.000","007XX W GRAND AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","MEDICAL / DENTAL OFFICE","false","false","1214","012","27","24","26","1171299","1903692","2024","2024-05-08T15:41:27.000","41.89120001","-87.646350252","
,  
(41.89120001, -87.646350252)"
"13445800","JH245376","2024-04-30T21:07:00.000","079XX S PULASKI RD","0620","BURGLARY","UNLAWFUL ENTRY","ABANDONED BUILDING","false","false","0834","008","18","70","05","1151099","1851704","2024","2024-05-08T15:41:27.000","41.748957622","-87.721894004","
,  
(41.748957622, -87.721894004)"
"13445760","JH245368","2024-04-30T21:00:00.000","016XX N PULASKI RD","0860","THEFT","RETAIL THEFT","COMMERCIAL / BUSINESS OFFICE","false","false","2535","025","26","23","06","1149466","1910591","2024","2024-05-08T15:41:27.000","41.91058325","-87.726353375","
,  
(41.91058325, -87.726353375)"
